,Axis.1,Axis.2,Date,Air Type,Type
P1,-0.008628555,-0.102382746,10-Jul-19,Indoor Transit,Indoor Transit
P2,-0.002401906,-0.058592599,11-Jul-19,Indoor Transit,Indoor Transit
P3,-0.067816173,-0.023770566,17-Jul-19,Indoor Transit,Indoor Transit
P4,0.087454685,-0.046292467,25-Jul-19,Indoor Transit,Indoor Transit
P5,-0.104417722,-0.090823656,1-Jul-19,Outdoor,Outdoor-R1
P6,0.100015322,-0.025303612,3-Jul-19,Outdoor,Outdoor-R2
P7,0.169103108,0.003098182,5-Jul-19,Outdoor,Outdoor-R2
P8,0.254943191,0.060573347,9-Jul-19,Outdoor,Outdoor-R1
S1,-0.01160231,0.129615814,10-Jul-19,Outdoor,Outdoor-R1
S2,-0.181944749,0.030788199,12-Jul-19,Outdoor,Outdoor-R2
S3,-0.131109661,0.059971005,15-Jul-19,Outdoor,Outdoor-R1
S4,-0.10359523,0.063119099,16-Jul-19,Outdoor,Outdoor-R2
