Phylum,R1,R1,R1,R1,R2,R2,R2,R2,S,S,S,S
Proteobacteria,0.063054466,0.05879642,0.21533395,0.050603582,0.169721481,0.450493374,0.054273999,0.073611835,0.886676223,0.887886227,0.89548048,0.867109793
Proteobacteria,0.112775922,0.089538482,0.166861768,0.110571439,0.130346205,0.049471614,0.165395857,0.305350626,0.026303091,0.012663907,0.02146442,0.035511024
Firmicutes,0.147027806,0.143455209,0.119831493,0.105729597,0.061842405,0.070029352,0.154250867,0.114064129,0.007579573,0.008734046,0.011725395,0.009181996
Firmicutes,0.096026842,0.088539307,0.153799198,0.042187397,0.087811122,0.077772785,0.05511513,0.051186131,0.010795256,0.015834486,0.01403138,0.013951462
Actinobacteria,0.108824951,0.092481788,0.014474332,0.093647808,0.060337895,0.015912844,0.026352644,0.051583681,0.005931227,0.008126621,0.003235776,0.0080353
Cyanobacteria,0.03430355,0.0895501,0.02665769,0.01724811,0.03938868,0.003121882,0.054702976,0.004881387,0.004279359,0.003333939,0.000795076,0.001138264
Proteobacteria,0.027094547,0.014495784,0.025723214,0.010383342,0.049712501,0.021085831,0.016671223,0.021819604,0.003789787,0.005344887,0.009823551,0.007175279
Actinobacteria,0.023122301,0.044602712,0.021799419,0.012548228,0.019263762,0.010521033,0.012352013,0.053186913,0.007100567,0.005970719,0.003494638,0.012276387
Proteobacteria,0.006500868,0.000855883,0.001336401,0.001429738,0.023579595,0.001216659,0.174395963,0.001472888,0.000704421,0.000922643,0.000559987,0.000688579
Firmicutes,0.031829634,0.017772149,0.027210338,0.015402633,0.024554678,0.017931855,0.010051519,0.017831074,0.001215127,0.002588462,0.000903376,0.002757128
Firmicutes,0.026720724,0.054819083,0.002230685,0.02316479,0.007552708,0.005030023,0.007288403,0.002945777,0.000493095,0.002300855,0.001946748,0.002956676
Actinobacteria,0.012159875,0.00296267,0.046809216,0.009556933,0.017330349,0.007022775,0.003494901,0.002450469,0.002085087,0.002307758,0.000393576,0.000964011
Actinobacteria,0.009998997,0.01374834,0.014519549,0.001825197,0.017383962,0.003148141,0.042931343,0.013484098,0.002352767,0.000851316,0.000356596,0.00111578
Proteobacteria,0.011570268,0.001142468,0.024708353,0.009835783,0.006973019,0.025643195,0.008217853,0.010551356,0.002085087,0.001622103,0.001492419,0.001481148
Fusobacteria,0.008856255,0.000673862,0.000509943,0.001475367,0.048499511,0.008890069,0.024619914,0.000762513,0.000394476,0.005314976,0.001814676,0.000286674
Proteobacteria,0.000735489,0.000619643,0.000731001,0.000790919,0.000720422,0.076684503,0.000635054,0.000547445,0.00051775,0.000533798,0.000499234,0.000534
Actinobacteria,0.017068197,0.030982174,0.001542388,0.013932336,0.001223043,0.014932515,0.007279992,0.001837852,0.001556771,0.001433433,0.000499234,0.001408075
Firmicutes,0.004595284,0.028054358,0.000620472,0.001120468,0.008253026,0.006701834,0.009143097,0.034651981,0.000228937,0.000276103,0.000243013,0.000300727
Actinobacteria,0.007169494,0.029711905,0.016365893,0.002357546,0.001048801,0.005027105,0.001303754,0.001687956,0.001433497,0.000692557,0.001376195,0.00138559
Proteobacteria,0.004978224,0.00887252,0.001188191,0.004623832,0.015209291,0.002978917,0.008058038,0.031491137,0.0013384,0.000895033,0.000768662,0.00084878
